<!---------------------车牌识别结果--------------------->
                                                      文件名                                 车牌区域                 车牌号码

C:\Users\yuanganzhao\Desktop\车牌识别\data\0918203300200000000.jpg     区域(x:1218, y: 963, w: 104, h:  32)            蓝牌-粤K90022
C:\Users\yuanganzhao\Desktop\车牌识别\data\0919098700200000000.jpg     区域(x:1120, y: 983, w:  97, h:  29)            蓝牌-粤K80822
C:\Users\yuanganzhao\Desktop\车牌识别\data\0919447100200000000.jpg     区域(x:1212, y: 903, w: 114, h:  32)            蓝牌-粤KC0570
C:\Users\yuanganzhao\Desktop\车牌识别\data\0919551000200000000.jpg     区域(x: 724, y:1067, w: 113, h:  37)            蓝牌-粤KML068
C:\Users\yuanganzhao\Desktop\车牌识别\data\0920050200100000000.jpg     区域(x: 415, y: 997, w:  99, h:  31)            蓝牌-粤KFP009
C:\Users\yuanganzhao\Desktop\车牌识别\data\0921209600200000000.jpg     区域(x:1206, y: 971, w: 105, h:  33)            蓝牌-粤KU1788
C:\Users\yuanganzhao\Desktop\车牌识别\data\0921589800200000000.jpg     区域(x:1206, y: 957, w: 106, h:  30)            蓝牌-川K93117
C:\Users\yuanganzhao\Desktop\车牌识别\data\0922025900200000000.jpg     区域(x:1150, y: 948, w: 108, h:  33)            蓝牌-粤K94076
C:\Users\yuanganzhao\Desktop\车牌识别\data\0922143400200000000.jpg     区域(x:1261, y: 880, w: 103, h:  27)            黄牌-粤K16660
C:\Users\yuanganzhao\Desktop\车牌识别\data\0922369600200000000.jpg     区域(x:1167, y: 933, w: 101, h:  41)            蓝牌-粤G88955
C:\Users\yuanganzhao\Desktop\车牌识别\data\0923486900200000000.jpg     区域(x:1011, y: 980, w: 110, h:  36)            蓝牌-粤KB8755
C:\Users\yuanganzhao\Desktop\车牌识别\data\0923491800200000000.jpg     区域(x:1065, y:1007, w: 102, h:  32)            蓝牌-粤K82253
C:\Users\yuanganzhao\Desktop\车牌识别\data\0923521900200000000.jpg     区域(x:1201, y: 954, w: 106, h:  33)            蓝牌-粤KA0585
C:\Users\yuanganzhao\Desktop\车牌识别\data\0924251400200000000.jpg     区域(x:1100, y: 945, w: 107, h:  34)            蓝牌-粤KC8310
C:\Users\yuanganzhao\Desktop\车牌识别\data\0924266600100000000.jpg     区域(x: 477, y: 967, w: 102, h:  32)            蓝牌-粤KTJ869
C:\Users\yuanganzhao\Desktop\车牌识别\data\0924370500200000000.jpg     区域(x:1300, y: 953, w: 108, h:  37)            蓝牌-粤KQT099
C:\Users\yuanganzhao\Desktop\车牌识别\data\0925384400200000000.jpg     区域(x:1180, y: 957, w:  97, h:  29)            蓝牌-粤K15956
C:\Users\yuanganzhao\Desktop\车牌识别\data\0925511400200000000.jpg     区域(x:1246, y: 961, w:  98, h:  28)            蓝牌-京K58159
C:\Users\yuanganzhao\Desktop\车牌识别\data\0926123300200000000.jpg     区域(x:1124, y: 946, w: 103, h:  35)            蓝牌-粤K93861
C:\Users\yuanganzhao\Desktop\车牌识别\data\0927552400200000000.jpg     区域(x:1155, y: 933, w: 108, h:  32)            蓝牌-粤KRR333
C:\Users\yuanganzhao\Desktop\车牌识别\data\0928092300200000000.jpg     区域(x: 838, y:1000, w: 112, h:  40)            蓝牌-粤AY500S
C:\Users\yuanganzhao\Desktop\车牌识别\data\0928236400100000000.jpg     区域(x: 606, y: 958, w: 106, h:  34)            蓝牌-粤KH3607
C:\Users\yuanganzhao\Desktop\车牌识别\data\0929447800200000000.jpg     区域(x:1220, y: 968, w: 111, h:  39)            蓝牌-粤KDN799
C:\Users\yuanganzhao\Desktop\车牌识别\data\0930253000200000000.jpg     区域(x:1192, y: 931, w:  96, h:  41)            蓝牌-粤KJ7817
C:\Users\yuanganzhao\Desktop\车牌识别\data\0940499100200000000.jpg     区域(x:1258, y: 907, w: 101, h:  33)            黄牌-粤KK4458
C:\Users\yuanganzhao\Desktop\车牌识别\data\0946435500200000000.jpg     区域(x:1236, y: 951, w: 103, h:  32)            蓝牌-粤K0A313
C:\Users\yuanganzhao\Desktop\车牌识别\data\0948462200200000000.jpg     区域(x:1163, y: 904, w: 106, h:  36)            蓝牌-粤KC1680
C:\Users\yuanganzhao\Desktop\车牌识别\data\0953062800200000000.jpg     区域(x:1183, y: 942, w: 108, h:  38)            蓝牌-粤KEL229
C:\Users\yuanganzhao\Desktop\车牌识别\data\0953236200200000000.jpg     区域(x:1239, y: 930, w: 103, h:  35)            蓝牌-皖JA4717
C:\Users\yuanganzhao\Desktop\车牌识别\data\0953319900200000000.jpg     区域(x:1185, y: 910, w: 102, h:  35)            蓝牌-粤KH9672
C:\Users\yuanganzhao\Desktop\车牌识别\data\0956302300200000000.jpg     区域(x:1289, y: 944, w: 106, h:  37)            蓝牌-京K44786
C:\Users\yuanganzhao\Desktop\车牌识别\data\2122203900200000000.jpg     区域(x:1191, y: 916, w:  95, h:  30)            黄牌-粤K11663
C:\Users\yuanganzhao\Desktop\车牌识别\data\2138061200200000000.jpg     区域(x:1156, y: 932, w: 106, h:  32)            蓝牌-粤KKT538
C:\Users\yuanganzhao\Desktop\车牌识别\data\2142135900200000000.jpg     区域(x:1213, y: 915, w:  98, h:  30)            黄牌-粤K16530
C:\Users\yuanganzhao\Desktop\车牌识别\data\2150134600200000000.jpg     区域(x:1082, y: 962, w: 106, h:  31)            蓝牌-粤KGE911
C:\Users\yuanganzhao\Desktop\车牌识别\data\2153525600200000000.jpg     区域(x:1169, y: 910, w:  96, h:  28)            黄牌-粤KP7883
C:\Users\yuanganzhao\Desktop\车牌识别\data\2153537500200000000.jpg     区域(x:1165, y: 939, w: 104, h:  30)            黄牌-粤KP6917
C:\Users\yuanganzhao\Desktop\车牌识别\data\2202114800300000000.jpg     区域(x: 446, y: 970, w:  71, h:  24)             蓝牌-粤GUB78
